Name;AllOf;AnyOf;NoneOf
INT-孤独な夜のオフィス;"S:夜景,S:社内";"M:窓,E:孤独";
INT-知の星座;;"M:ネットワーク,M:脳HUD";
INT-思索・執筆;;"M:書物,M:インク,A:筆記,S:図書館";
INT-禅・静寂;;"M:禅庭,M:竹林,S:寺社,E:静寂";
INT-群れの調和;"C:俯瞰";"M:群鳥,M:群集";
INT-管理社会;"M:群集,C:俯瞰";"S:社内,S:夜景";
INT-漂流・航海;"M:海";"C:空撮,S:自然";
INT-孤独なリモートワーク;"S:屋内,E:孤独";"M:窓,A:読書";
INT-混乱したオフィス;"S:社内,A:会議";"C:TL,E:苦悩";
INT-緊張感のある会議;"S:社内,A:会議,E:苦悩";;
INT-群集心理;"M:群集";"C:俯瞰,C:TL";
INT-フロー体験;;"M:脳HUD,T:脳科学";
INT-孤立したエース;"S:社内,E:孤独";"C:望遠,M:窓";
INT-日本の伝統美;;"M:禅庭,S:寺社,M:竹林";
INT-形式的な会議;"A:会議,C:固定,E:静寂";;
INT-体内時計・クロノタイプ;"T:脳科学";"M:砂時計,T:時間";
INT-禅・守破離;;"S:寺社,M:禅庭,M:インク";
INT-無機質な建築;"S:夜景,C:空撮";;"S:自然"
INT-カリスマと群衆;"M:群集,E:高揚";;"A:会議"
INT-システムの歯車;"S:社内,C:俯瞰,T:組織";;
INT-知の探求;;"S:図書館,M:書物,A:読書";
INT-キャリアの岐路;;"M:羅針盤";
INT-瞑想・静寂;"E:静寂";"S:自然,M:禅庭,S:寺社";
INT-脳科学イメージ;;"M:脳HUD,M:ネットワーク";
INT-分析麻痺;"E:苦悩,S:社内";"M:書物,A:会議";
INT-カント・哲学;"M:星空,T:倫理";"M:書物,A:歩行";
